subdet,layer,waferu,waferv,tc_eta,tc_phi
1,1,8,0,1.6149467,-0.6807
1,1,8,1,1.6654481,3.0259411
1,1,8,2,1.7110795,2.8961442
1,1,8,3,1.7397848,2.7627292
1,1,8,4,1.7504141,2.6115897
1,1,8,5,1.7405273,2.4773257
1,1,8,6,1.7129761,2.3394008
1,1,8,7,1.662658,2.210391
1,1,8,8,1.618657,2.0935464
1,1,8,9,1.5589128,1.9900205
1,1,9,1,1.5503246,3.0391834
1,1,9,2,1.6010895,2.9347713
1,1,9,3,1.623303,2.8115122
1,1,9,4,1.6342584,2.679957
1,1,9,5,1.6361232,2.5500927
1,1,9,6,1.6239192,2.4273355
1,1,9,7,1.5931813,2.3068569
1,1,9,8,1.5555048,2.1973658
1,1,10,3,1.5297228,2.8524728
1,1,10,4,1.5432413,2.7360764
1,1,10,5,1.545393,2.6197877
1,1,10,6,1.5408682,2.5002031
1,1,10,7,1.5308341,2.3900878
1,3,-10,-7,1.5328867,-0.74902135
1,3,-10,-6,1.546066,-0.6305435
1,3,-10,-5,1.5465801,-0.5212402
1,3,-10,-4,1.5511574,-0.41175598
1,3,-10,-3,1.5356891,-0.29091495
1,3,-9,-8,1.5652194,-0.94735694
1,3,-9,-7,1.6022133,-0.8370954
1,3,-9,-6,1.6321894,-0.71460015
1,3,-9,-5,1.6464206,-0.58251554
1,3,-9,-4,1.6419731,-0.45942113
1,3,-9,-3,1.6358416,-0.3343038
1,3,-9,-2,1.6017745,-0.21162626
1,3,-9,-1,1.562495,-0.108238794
1,3,-8,-9,1.5606319,-1.1557909
1,3,-8,-8,1.6219909,-1.0426008
1,3,-8,-7,1.6727486,-0.93023145
1,3,-8,-6,1.7229649,-0.7945025
1,3,-8,-5,1.750058,-0.67158216
1,3,-8,-4,1.7562172,-0.5277556
1,3,-8,-3,1.7470341,-0.3744149
1,3,-8,-2,1.7214677,-0.2501368
1,3,-8,-1,1.6765422,-0.11231478
1,3,-8,0,1.6272459,0.003633205
1,3,-8,1,1.56887,0.107157044
1,3,-7,-10,1.5345051,-1.3446336
1,3,-7,-9,1.6013902,-1.2612772
1,3,-7,-8,1.6676046,-1.1648617
1,3,-7,-7,1.7494383,-1.0464661
1,3,-7,-6,1.8107234,-0.9160682
1,3,-7,-5,1.8507968,-0.76229465
1,3,-7,-4,1.8819418,-0.6050871
1,3,-7,-3,1.8775455,-0.44216743
1,3,-7,-2,1.8579738,-0.27950203
1,3,-7,-1,1.8113363,-0.13130707
1,3,-7,0,1.7504268,-0.004833136
1,3,-7,1,1.6744721,0.119857855
1,3,-7,2,1.5989552,0.21292464
1,3,-7,3,1.5368589,0.28458133
1,3,-6,-10,1.549651,-1.4589072
1,3,-6,-9,1.6257075,-1.3751936
1,3,-6,-8,1.7196888,-1.2887238
1,3,-6,-7,1.8129857,-1.180658
1,3,-6,-6,1.8878385,-1.047294
1,3,-6,-5,1.9715426,-0.8885315
1,3,-6,-4,2.01771,-0.7133
1,3,-6,-3,2.0302403,-0.52303207
1,3,-6,-2,2.0185118,-0.33575478
1,3,-6,-1,1.9664834,-0.1527355
1,3,-6,0,1.8982154,6.99E-05
1,3,-6,1,1.8092954,0.13385017
1,3,-6,2,1.7157302,0.24188425
1,3,-6,3,1.6318423,0.33198056
1,3,-6,4,1.5470536,0.4055312
1,3,-5,-10,1.5535737,-1.5728219
1,3,-5,-9,1.6431402,-1.5102826
1,3,-5,-8,1.7499615,-1.4306344
1,3,-5,-7,1.8574666,-1.3270606
1,3,-5,-6,1.9636242,-1.2023726
1,3,-5,-5,2.0701013,-1.0451089
1,3,-5,-4,2.1547573,-0.8583451
1,3,-5,-3,2.2051702,-0.6346493
